Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,TileTime,BondTime
ECZw,5,4,2,"['aB', 'AbbbB', 'Abb', 'AB']","{'aB': [0, 1, 2], 'AbbbB': [5], 'Abb': [4], 'AB': [3]}","[[[0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1], [1, 1, 0, 1, 0, 0]]]",2,4,,,,TRUE,0.99482,0.1657364
ECfo,5,4,2,"['abB', 'a', 'AAAB', 'Ab']","{'abB': [0, 3], 'a': [1, 2], 'AAAB': [5], 'Ab': [4]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,1.1451805,0.9220291
ECfw,5,3,1,"['aaA', 'a', 'AAAAA']","{'aaA': [0, 3, 4], 'a': [1, 2], 'AAAAA': [5]}","[[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0]]]",1,3,,,,TRUE,0.046342,3.20E-06
ECpo,5,5,3,"['aC', 'AC', 'bc', 'BBc', 'C']","{'aC': [0], 'AC': [4], 'bc': [1, 3], 'BBc': [5], 'C': [2]}","[[[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0]]]",3,5,,,,TRUE,28.1247852,23.3625513
ECqg,5,4,2,"['aBB', 'ABB', 'bbB', 'b']","{'aBB': [0], 'ABB': [4], 'bbB': [5], 'b': [1, 2, 3]}","[[[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0]]]",2,4,,,,TRUE,0.5318671,0.1566553
E?ow,5,3,2,"['a', 'AAb', 'AAB']","{'a': [0, 1, 2, 3], 'AAb': [4], 'AAB': [5]}","[[[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.1641341,0.1593286
ECr_,5,5,3,"['aC', 'AC', 'bcc', 'Bcc', 'C']","{'aC': [1], 'AC': [4], 'bcc': [0], 'Bcc': [5], 'C': [2, 3]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0]]]",3,5,,,,TRUE,33.6608862,54.1554739
ECrg,5,4,2,"['aB', 'ABBB', 'bbB', 'b']","{'aB': [1], 'ABBB': [5], 'bbB': [0, 4], 'b': [2, 3]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,0.3300374,1.2013292
ECro,5,5,2,"['abBB', 'aB', 'AAA', 'bb', 'b']","{'abBB': [5], 'aB': [3, 4], 'AAA': [0], 'bb': [1], 'b': [2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0]]]",2,5,,,,TRUE,14.6713922,0.0906105
ECrw,5,4,2,"['aB', 'AAbBB', 'bbB', 'b']","{'aB': [1, 3], 'AAbBB': [5], 'bbB': [0, 4], 'b': [2]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]]",2,4,,,,TRUE,0.5748565,1.834394
